Sample.Name,Target.Name,BCbyrpoA
7Rare_same_1_colony,rare_1-1,0.419041375
7Rare_same_1_colony,rare_1-1,0.473284011
7Rare_same_1_colony,rare_1-1,0.444861463
7Rare_same_1_colony,rare_1-2,0.454082665
7Rare_same_1_colony,rare_1-2,0.427511525
7Rare_same_1_colony,rare_1-2,0.440426552
7Rare_same_1_colony,rare_2-1,0.447401198
7Rare_same_1_colony,rare_2-1,0.469168236
7Rare_same_1_colony,rare_2-1,0.471080028
7Rare_same_1_colony,rare_2-2,0.434326783
7Rare_same_1_colony,rare_2-2,0.424821621
7Rare_same_1_colony,rare_2-2,0.410621931
7Rare_same_2_colony,rare_3-1,0.360356085
7Rare_same_2_colony,rare_3-1,0.391735249
7Rare_same_2_colony,rare_3-1,0.395417378
7Rare_same_2_colony,rare_3-2,0.372730487
7Rare_same_2_colony,rare_3-2,0.369496985
7Rare_same_2_colony,rare_3-2,0.338954429
7Domi_same_2_colony,domi_1-1,0.633962428
7Domi_same_2_colony,domi_1-1,0.584245284
7Domi_same_2_colony,domi_1-1,0.55868882
7Domi_same_2_colony,domi_1-2,0.509277939
7Domi_same_2_colony,domi_1-2,0.540805084
7Domi_same_2_colony,domi_1-2,0.496490246
7Domi_same_3_colony,domi_2-1,0.749770936
7Domi_same_3_colony,domi_2-1,0.714141108
7Domi_same_3_colony,domi_2-1,0.666817717
7Domi_same_3_colony,domi_2-2,0.684050202
7Domi_same_3_colony,domi_2-2,0.720821961
7Domi_same_3_colony,domi_2-2,0.696758344
7Domi_same_3_colony,domi_3-1,0.772711912
7Domi_same_3_colony,domi_3-1,0.741281011
7Domi_same_3_colony,domi_3-1,0.791806838
7Domi_same_3_colony,domi_3-2,0.708127383
7Domi_same_3_colony,domi_3-2,0.73281862
7Domi_same_3_colony,domi_3-2,0.710216632
