Sample.Name,Target.Name,ADbyAB
8Rare_same_1_colony,rare_1-1,0.040958735
8Rare_same_1_colony,rare_1-1,0.042508779
8Rare_same_1_colony,rare_1-1,0.041487939
8Rare_same_1_colony,rare_1-2,0.041323621
8Rare_same_1_colony,rare_1-2,0.03972349
8Rare_same_1_colony,rare_1-2,0.040834371
8Rare_same_2_colony,rare_2-1,0.01067681
8Rare_same_2_colony,rare_2-1,0.010564655
8Rare_same_2_colony,rare_2-1,0.010945413
8Rare_same_2_colony,rare_2-2,0.008782722
8Rare_same_2_colony,rare_2-2,0.008095674
8Rare_same_2_colony,rare_2-2,0.009101685
8Rare_same_3_colony,rare_3-1,0.027746414
8Rare_same_3_colony,rare_3-1,0.027563353
8Rare_same_3_colony,rare_3-1,0.027073272
8Rare_same_3_colony,rare_3-2,0.011964865
8Rare_same_3_colony,rare_3-2,0.010871944
8Rare_same_3_colony,rare_3-2,0.010991856
8Domi_same_1_colony,domi_1-1,0.020626849
8Domi_same_1_colony,domi_1-1,0.019489946
8Domi_same_1_colony,domi_1-1,0.019493396
8Domi_same_1_colony,domi_1-2,0.018309428
8Domi_same_1_colony,domi_1-2,0.017246851
8Domi_same_1_colony,domi_1-2,0.017817902
8Domi_same_2_colony,domi_2-1,0.005178023
8Domi_same_2_colony,domi_2-1,0.005195377
8Domi_same_2_colony,domi_2-1,0.005334845
8Domi_same_2_colony,domi_2-2,0.004780343
8Domi_same_2_colony,domi_2-2,0.004577908
8Domi_same_2_colony,domi_2-2,0.004769033
8Domi_same_3_colony,domi_3-1,0.010728439
8Domi_same_3_colony,domi_3-1,0.011934968
8Domi_same_3_colony,domi_3-1,0.011283215
8Domi_same_3_colony,domi_3-2,0.010346136
8Domi_same_3_colony,domi_3-2,0.010503905
8Domi_same_3_colony,domi_3-2,0.010733686
